"id","nome","partido"
151965,"Maia Filho","PP"
152605,"Glauber Braga","PSOL"
152610,"Roberto Alves","REPUBLICANOS"
154178,"Milton Vieira","REPUBLICANOS"
154919,"Eleuses Paiva","PSD"
156190,"Marcel van Hattem","NOVO"
157130,"Túlio Gadêlha","REDE"
159237,"Assis Carvalho","PT"
159238,"Marcus Pestana","PSDB"
160508,"Afonso Florence","PT"
160510,"Luis Tibé","AVANTE"
160511,"Alessandro Molon","PSB"
160512,"Aureo Ribeiro","SOLIDARIEDADE"
160517,"Paulo Foletto","PSB"
160518,"Weliton Prado","PROS"
160527,"Aguinaldo Ribeiro","PP"
160528,"Danilo Cabral","PSB"
160531,"Jhonatan de Jesus","REPUBLICANOS"
160532,"Eli Corrêa Filho","UNIÃO"
160534,"Lauriete","PSC"
160535,"Marcon","PT"
160536,"MARCO TEBALDI","PSDB"
160538,"Bohn Gass","PT"
160541,"Arthur Lira","PP"
160542,"Márcio Macêdo","PT"
160545,"Alexandre Leite","UNIÃO"
160552,"Danrlei de Deus Hinterholz","PSD"
160553,"Antonio Brito","PSD"
160556,"Padre João","PT"
160558,"Paulo Freire Costa","PL"
160559,"Alceu Moreira","MDB"
160561,"MISSIONÁRIO JOSÉ OLIMPIO","UNIÃO"
160569,"Waldenor Pereira","PT"
160570,"Jerônimo Goergen","PP"
160575,"Erika Kokay","PT"
160587,"Fábio Trad","PSD"
160588,"Diego Andrade","PSD"
160589,"Bruna Furlan","PSDB"
160591,"Vinicius Gurgel","PL"
160592,"Zeca Dirceu","PT"
160598,"Flávia Morais","PDT"
160599,"Dimas Fabiano","PP"
160600,"Arthur Oliveira Maia","UNIÃO"
160601,"Pr. Marco Feliciano","PL"
160604,"Pedro Uczai","PT"
160610,"Valmir Assunção","PT"
160619,"José Nunes","PSD"
160621,"Sandro Alex","PSD"
160632,"Zé Silva","SOLIDARIEDADE"
160635,"Ruy Carneiro","PSC"
160639,"Professora Dorinha Seabra Rezende","UNIÃO"
160640,"Eros Biondini","PL"
160641,"Professora Marcivania","PCdoB"
160642,"Pastor Eurico","PL"
160645,"Luiz Carlos","PSDB"
160651,"Rogério Peninha Mendonça","MDB"
160653,"Roberto de Lucena","REPUBLICANOS"
160655,"Ricardo Izar","REPUBLICANOS"
160665,"Augusto Coutinho","REPUBLICANOS"
160666,"Félix Mendonça Júnior","PDT"
160667,"Guilherme Mussi","PP"
160669,"Genecias Noronha","PL"
160672,"Jean Wyllys","PSOL"
160673,"Giovani Cherini","PL"
160674,"Hugo Motta","REPUBLICANOS"
160758,"Domingos Sávio","PL"
160976,"Tiririca","PL"
161550,"Emidinho Madeira","PL"
162332,"Luiz Nishimori","PSD"
164359,"Delegado Waldir","UNIÃO"
164360,"Carmen Zanotto","CIDADANIA"
166402,"Magda Mofatto","PL"
167614,"Severino Ninho","PSB"
168175,"Simplício Araújo","SOLIDARIEDADE"
171617,"Paulão","PT"
171619,"Margarida Salomão","PT"
171623,"Fabio Reis","PSD"
177282,"Subtenente Gonzaga","PSD"
178825,"Leo de Brito","PT"
178829,"Capitão Augusto","PL"
178830,"Dr. Sinval Malheiros","PODE"
178831,"André Abdon","PP"
178832,"Leandre","PSD"
178833,"Alexandre Serfiotis","PSD"
178835,"Afonso Motta","PDT"
178836,"Alan Rick","UNIÃO"
178839,"Jéssica Sales","MDB"
178842,"Jhc","PSB"
178843,"Marx Beltrão","PP"
178844,"Pedro Vilela","PSDB"
178853,"Caetano","PT"
178854,"Elmar Nascimento","UNIÃO"
178857,"Jorge Solla","PT"
178858,"Mário Negromonte Jr.","PP"
178860,"Paulo Azi","UNIÃO"
178861,"Ronaldo Carletto","PP"
178862,"Tia Eron","REPUBLICANOS"
178863,"Uldurico Junior","MDB"
